fuel_type,plant_code,vendor,quantity,unit,billing_month
Petrol,PL-IND-100,GAIL,-642.11,Liters,2026-05
Petrol,PL-IND-101,GAIL,-659.14,Liters,2026-02
Diesel,PL-IND-102,GAIL,-131.97,Liters,2026-02
Petrol,PL-IND-103,Indian Oil,0.0,Liters,2026-05
Diesel,PL-IND-104,GAIL,5673.04,Liters,2026-02
LPG,PL-IND-105,GAIL,7244.14,KG,2026-05
Petrol,PL-IND-106,GAIL,4322.72,Liters,2026-02
LPG,PL-IND-107,Bharat Petroleum,4649.1,KG,2026-03
Natural Gas,PL-IND-108,HPCL,,SCM,2026-04
LPG,PL-IND-109,Bharat Petroleum,7251.19,KG,2026-03
Diesel,PL-IND-110,Bharat Petroleum,0.0,Liters,2026-02
Natural Gas,PL-IND-111,Bharat Petroleum,3316.17,SCM,2026-01
Petrol,PL-IND-112,GAIL,0.0,Liters,2026-01
Petrol,PL-IND-113,GAIL,1136.72,Liters,2026-05
Petrol,PL-IND-114,GAIL,3090.29,Liters,2026-01
Petrol,PL-IND-115,GAIL,4822.93,Liters,2026-05
Natural Gas,PL-IND-116,GAIL,0.0,SCM,2026-02
Petrol,PL-IND-117,Indian Oil,5753.99,Liters,2026-04
Petrol,PL-IND-118,Bharat Petroleum,7865.05,Liters,2026-04
Diesel,PL-IND-119,GAIL,1189.71,Liters,2026-05
Petrol,PL-IND-120,Bharat Petroleum,-1492.7,Liters,2026-04
LPG,PL-IND-121,Bharat Petroleum,6328.61,KG,2026-04
Petrol,PL-IND-122,HPCL,0.0,Liters,2026-04
Diesel,PL-IND-123,GAIL,1364.6,Liters,2026-01
LPG,PL-IND-124,Bharat Petroleum,5562.28,KG,2026-01
Diesel,PL-IND-125,Bharat Petroleum,5349.35,Liters,2026-02
Natural Gas,PL-IND-126,Bharat Petroleum,4947.79,SCM,2026-04
Natural Gas,PL-IND-127,GAIL,2174.52,SCM,2026-03
Diesel,PL-IND-128,Bharat Petroleum,-1949.93,Liters,2026-03
LPG,PL-IND-129,GAIL,2388.31,KG,2026-04
Natural Gas,PL-IND-130,Indian Oil,5202.88,SCM,2026-03
Diesel,PL-IND-131,Indian Oil,5630.65,Liters,2026-03
Diesel,PL-IND-132,HPCL,6756.32,Liters,2026-01
Diesel,PL-IND-133,GAIL,6800.95,Liters,2026-03
Natural Gas,PL-IND-134,GAIL,7758.32,SCM,2026-02
LPG,PL-IND-135,GAIL,6117.18,KG,2026-04
LPG,PL-IND-136,HPCL,1606.64,KG,2026-02
Petrol,PL-IND-137,Bharat Petroleum,5677.32,Liters,2026-04
LPG,PL-IND-138,Indian Oil,2272.88,KG,2026-04
Natural Gas,PL-IND-139,HPCL,7162.24,SCM,2026-03
LPG,PL-IND-140,Indian Oil,1599.29,KG,2026-05
Petrol,PL-IND-141,GAIL,5834.27,Liters,2026-05
Petrol,PL-IND-142,GAIL,,Liters,2026-01
Natural Gas,PL-IND-143,GAIL,5070.89,SCM,2026-02
Petrol,PL-IND-144,HPCL,4852.72,Liters,2026-04
LPG,PL-IND-145,GAIL,2613.77,KG,2026-03
Natural Gas,PL-IND-146,HPCL,7656.14,SCM,2026-01
Natural Gas,PL-IND-147,Bharat Petroleum,2935.5,SCM,2026-02
LPG,PL-IND-148,Indian Oil,0.0,KG,2026-02
LPG,PL-IND-149,Bharat Petroleum,,KG,2026-03
Natural Gas,PL-IND-150,HPCL,4873.51,SCM,2026-01
Natural Gas,PL-IND-151,GAIL,5018.45,SCM,2026-01
Petrol,PL-IND-152,GAIL,7758.48,Liters,2026-04
LPG,PL-IND-153,GAIL,3804.95,KG,2026-01
Diesel,PL-IND-154,Indian Oil,-902.46,Liters,2026-02
LPG,PL-IND-155,Indian Oil,-509.34,KG,2026-02
