travel_id,origin_airport,destination_airport,vendor,travel_month
TRV-100000,MAA,PNQ,Akasa Air,2026-05
TRV-100001,PNQ,0,Air India,2026-02
TRV-100002,PNQ,BLR,Vistara,2026-01
TRV-100003,PNQ,BLR,Air India,2026-01
TRV-100004,CCU,MAA,Vistara,2026-04
TRV-100005,PNQ,0,Air India,2026-04
TRV-100006,CCU,0,Vistara,2026-05
TRV-100007,DEL,CCU,Akasa Air,2026-03
TRV-100008,PNQ,AMD,IndiGo,2026-05
TRV-100009,HYD,BOM,Vistara,2026-02
TRV-100010,BOM,HYD,Vistara,2026-02
TRV-100011,,CCU,Vistara,2026-04
TRV-100012,CCU,BLR,Air India,2026-01
TRV-100013,BLR,AMD,Air India,2026-02
TRV-100014,-500,AMD,Vistara,2026-05
TRV-100015,-500,AMD,Akasa Air,2026-03
TRV-100016,MAA,AMD,IndiGo,2026-02
TRV-100017,HYD,DEL,Akasa Air,2026-05
TRV-100018,,MAA,IndiGo,2026-03
TRV-100019,AMD,PNQ,Vistara,2026-05
TRV-100020,BBS-,PNQ,Vistara,2026-01
TRV-100021,BBS-,HYD,Vistara,2026-05
TRV-100022,-500,DEL,Akasa Air,2026-03
TRV-100023,BBS-,DEL,IndiGo,2026-03
TRV-100024,PNQ,BLR,Air India,2026-04
TRV-100025,BLR,MAA,Akasa Air,2026-05
TRV-100026,BBS-,BLR,Akasa Air,2026-05
TRV-100027,PNQ,MAA,Vistara,2026-02
TRV-100028,HYD,CCU,Vistara,2026-01
TRV-100029,-500,BLR,Vistara,2026-01
TRV-100030,BOM,0,IndiGo,2026-04
TRV-100031,HYD,BOM,IndiGo,2026-01
TRV-100032,MAA,0,Air India,2026-01
TRV-100033,BLR,AMD,Air India,2026-03
TRV-100034,BLR,BOM,IndiGo,2026-03
TRV-100035,BBS-,BOM,Air India,2026-01
TRV-100036,-500,DEL,Air India,2026-05
TRV-100037,-500,CCU,IndiGo,2026-02
TRV-100038,,AMD,IndiGo,2026-04
TRV-100039,BBS-,CCU,IndiGo,2026-04
TRV-100040,DEL,PNQ,Vistara,2026-04
TRV-100041,BOM,MAA,Akasa Air,2026-04
TRV-100042,BOM,BLR,Akasa Air,2026-01
TRV-100043,CCU,PNQ,IndiGo,2026-02
TRV-100044,CCU,MAA,Vistara,2026-04
TRV-100045,BOM,AMD,Akasa Air,2026-01
TRV-100046,PNQ,BOM,Air India,2026-04
TRV-100047,BBS-,HYD,Akasa Air,2026-04
TRV-100048,CCU,BLR,Akasa Air,2026-03
TRV-100049,BBS-,AMD,Akasa Air,2026-01
TRV-100050,-500,AMD,Akasa Air,2026-01
TRV-100051,-500,PNQ,IndiGo,2026-05
TRV-100052,DEL,BLR,Vistara,2026-04
TRV-100053,MAA,BOM,Vistara,2026-01
TRV-100054,HYD,AMD,Air India,2026-01
TRV-100055,MAA,AMD,IndiGo,2026-03
TRV-100056,-500,DEL,IndiGo,2026-05
TRV-100057,-500,DEL,Vistara,2026-03
TRV-100058,-500,DEL,Air India,2026-05
TRV-100059,MAA,PNQ,IndiGo,2026-01
TRV-100060,HYD,BLR,Vistara,2026-02
TRV-100061,BLR,BOM,IndiGo,2026-01
TRV-100062,CCU,MAA,IndiGo,2026-01
TRV-100063,PNQ,0,Akasa Air,2026-05
TRV-100064,AMD,0,IndiGo,2026-03
TRV-100065,CCU,0,Akasa Air,2026-05
TRV-100066,MAA,BLR,IndiGo,2026-01
TRV-100067,-500,BLR,Air India,2026-03
TRV-100068,,BOM,Akasa Air,2026-04
TRV-100069,,DEL,Air India,2026-05
TRV-100070,DEL,MAA,IndiGo,2026-04
TRV-100071,AMD,CCU,Vistara,2026-05
TRV-100072,BBS-,MAA,Akasa Air,2026-03
TRV-100073,PNQ,AMD,Vistara,2026-02
TRV-100074,-500,PNQ,Vistara,2026-01
TRV-100075,BBS-,CCU,Akasa Air,2026-05
TRV-100076,MAA,BLR,Vistara,2026-03
TRV-100077,BOM,CCU,IndiGo,2026-05
TRV-100078,-500,BOM,Vistara,2026-03
TRV-100079,-500,CCU,Vistara,2026-02
TRV-100080,PNQ,MAA,IndiGo,2026-02
TRV-100081,HYD,AMD,Akasa Air,2026-05
TRV-100082,PNQ,DEL,Vistara,2026-02
TRV-100083,DEL,BLR,Vistara,2026-03
TRV-100084,BBS-,DEL,Vistara,2026-04
TRV-100085,BOM,CCU,Vistara,2026-01
TRV-100086,DEL,MAA,Akasa Air,2026-04
TRV-100087,-500,CCU,Air India,2026-03
TRV-100088,BOM,AMD,IndiGo,2026-04
TRV-100089,BLR,0,Vistara,2026-01
TRV-100090,,PNQ,Akasa Air,2026-04
TRV-100091,,PNQ,Vistara,2026-04
TRV-100092,BBS-,BLR,IndiGo,2026-03
TRV-100093,CCU,HYD,Akasa Air,2026-03
TRV-100094,BOM,CCU,Air India,2026-03
TRV-100095,AMD,BOM,Vistara,2026-03
TRV-100096,AMD,HYD,IndiGo,2026-03
TRV-100097,BOM,HYD,Air India,2026-05
TRV-100098,-500,BLR,Vistara,2026-01
TRV-100099,PNQ,0,Air India,2026-03
